champion,lane,winrate
Bel'Veth,top,43.59
Bel'Veth,jung,50.59
Bel'Veth,mid,57.89
Bel'Veth,ad,0.5
Bel'Veth,support,37.5
Irelia,top,51.2
Irelia,jung,26.32
Irelia,mid,46.8
Irelia,ad,50.0
Irelia,support,50.0
Twitch,top,15.38
Twitch,jung,47.83
Twitch,mid,61.29
Twitch,ad,50.19
Twitch,support,49.15
Gragas,top,49.24
Gragas,jung,49.13
Gragas,mid,52.68
Gragas,ad,45.45
Gragas,support,43.18
Renekton,top,50.72
Renekton,jung,30.77
Renekton,mid,46.88
Renekton,ad,0.5
Renekton,support,0.5
Jax,top,51.55
Jax,jung,36.49
Jax,mid,41.18
Jax,ad,90.91
Jax,support,54.55
Malphite,top,50.84
Malphite,jung,54.29
Malphite,mid,49.61
Malphite,ad,56.0
Malphite,support,51.61
Gwen,top,54.78
Gwen,jung,51.43
Gwen,mid,42.86
Gwen,ad,0.5
Gwen,support,0.5
Shen,top,43.79
Shen,jung,56.25
Shen,mid,38.46
Shen,ad,0.5
Shen,support,0.5
Alistar,top,20.0
Alistar,jung,0.5
Alistar,mid,41.67
Alistar,ad,0.5
Alistar,support,51.07
Illaoi,top,47.76
Illaoi,jung,0.5
Illaoi,mid,61.11
Illaoi,ad,0.5
Illaoi,support,0.5
Pantheon,top,48.18
Pantheon,jung,61.54
Pantheon,mid,52.16
Pantheon,ad,73.68
Pantheon,support,53.85
Jayce,top,49.15
Jayce,jung,46.43
Jayce,mid,48.34
Jayce,ad,47.06
Jayce,support,45.45
Nasus,top,44.44
Nasus,jung,53.33
Nasus,mid,42.11
Nasus,ad,0.5
Nasus,support,0.5
Sion,top,47.65
Sion,jung,51.85
Sion,mid,45.98
Sion,ad,0.5
Sion,support,34.78
Gnar,top,51.04
Gnar,jung,0.5
Gnar,mid,50.0
Gnar,ad,0.5
Gnar,support,0.5
Kled,top,52.4
Kled,jung,0.5
Kled,mid,54.84
Kled,ad,0.5
Kled,support,0.5
Singed,top,41.58
Singed,jung,0.5
Singed,mid,57.58
Singed,ad,0.5
Singed,support,0.5
K'Sante,top,50.45
K'Sante,jung,42.86
K'Sante,mid,43.24
K'Sante,ad,41.67
K'Sante,support,61.54
Riven,top,53.35
Riven,jung,52.94
Riven,mid,58.0
Riven,ad,0.5
Riven,support,0.5
Yone,top,49.4
Yone,jung,36.0
Yone,mid,47.75
Yone,ad,46.67
Yone,support,0.5
Graves,top,54.17
Graves,jung,44.94
Graves,mid,64.71
Graves,ad,46.15
Graves,support,46.15
Kayle,top,51.11
Kayle,jung,0.5
Kayle,mid,42.37
Kayle,ad,0.5
Kayle,support,0.5
Fiora,top,44.77
Fiora,jung,42.86
Fiora,mid,57.14
Fiora,ad,57.14
Fiora,support,0.5
Hecarim,top,50.0
Hecarim,jung,49.65
Hecarim,mid,55.56
Hecarim,ad,35.71
Hecarim,support,57.14
Mordekaiser,top,49.3
Mordekaiser,jung,45.95
Mordekaiser,mid,42.86
Mordekaiser,ad,50.0
Mordekaiser,support,50.0
Udyr,top,52.46
Udyr,jung,54.51
Udyr,mid,0.5
Udyr,ad,0.5
Udyr,support,0.5
Ornn,top,49.92
Ornn,jung,64.71
Ornn,mid,65.62
Ornn,ad,35.71
Ornn,support,50.0
Rumble,top,51.49
Rumble,jung,51.02
Rumble,mid,50.76
Rumble,ad,0.5
Rumble,support,0.5
Gangplank,top,48.94
Gangplank,jung,0.5
Gangplank,mid,47.37
Gangplank,ad,0.5
Gangplank,support,0.5
Akshan,top,55.49
Akshan,jung,50.0
Akshan,mid,53.76
Akshan,ad,46.15
Akshan,support,0.5
Olaf,top,54.79
Olaf,jung,41.86
Olaf,mid,55.0
Olaf,ad,0.5
Olaf,support,0.5
Camille,top,53.43
Camille,jung,46.67
Camille,mid,70.83
Camille,ad,0.5
Camille,support,47.06
Kindred,top,16.67
Kindred,jung,50.41
Kindred,mid,47.06
Kindred,ad,50.0
Kindred,support,0.5
Nami,top,58.33
Nami,jung,0.5
Nami,mid,0.5
Nami,ad,50.0
Nami,support,48.92
Annie,top,48.57
Annie,jung,61.54
Annie,mid,52.28
Annie,ad,0.5
Annie,support,53.71
Aatrox,top,48.48
Aatrox,jung,0.5
Aatrox,mid,62.5
Aatrox,ad,36.36
Aatrox,support,0.5
Zed,top,50.0
Zed,jung,40.0
Zed,mid,53.84
Zed,ad,58.82
Zed,support,0.5
Ezreal,top,39.13
Ezreal,jung,36.36
Ezreal,mid,55.07
Ezreal,ad,48.34
Ezreal,support,43.18
Xin Zhao,top,50.0
Xin Zhao,jung,51.35
Xin Zhao,mid,56.52
Xin Zhao,ad,0.5
Xin Zhao,support,78.57
Dr. Mundo,top,49.22
Dr. Mundo,jung,35.71
Dr. Mundo,mid,0.5
Dr. Mundo,ad,0.5
Dr. Mundo,support,0.5
Rammus,top,52.31
Rammus,jung,52.99
Rammus,mid,0.5
Rammus,ad,0.5
Rammus,support,43.75
Volibear,top,46.75
Volibear,jung,48.91
Volibear,mid,41.67
Volibear,ad,0.5
Volibear,support,0.5
Vayne,top,55.26
Vayne,jung,0.5
Vayne,mid,54.29
Vayne,ad,50.96
Vayne,support,0.5
Kai'Sa,top,61.11
Kai'Sa,jung,60.61
Kai'Sa,mid,49.58
Kai'Sa,ad,48.9
Kai'Sa,support,45.71
Zilean,top,59.09
Zilean,jung,0.5
Zilean,mid,36.36
Zilean,ad,66.67
Zilean,support,49.82
Lee Sin,top,36.92
Lee Sin,jung,45.69
Lee Sin,mid,40.35
Lee Sin,ad,53.85
Lee Sin,support,50.0
Sett,top,49.73
Sett,jung,0.5
Sett,mid,43.33
Sett,ad,0.5
Sett,support,50.0
Poppy,top,49.73
Poppy,jung,50.0
Poppy,mid,52.94
Poppy,ad,0.5
Poppy,support,51.61
Tryndamere,top,50.84
Tryndamere,jung,0.5
Tryndamere,mid,36.59
Tryndamere,ad,0.5
Tryndamere,support,0.5
Sylas,top,51.35
Sylas,jung,48.41
Sylas,mid,46.44
Sylas,ad,37.5
Sylas,support,52.94
Anivia,top,18.18
Anivia,jung,0.5
Anivia,mid,49.13
Anivia,ad,0.5
Anivia,support,48.15
Katarina,top,50.0
Katarina,jung,58.82
Katarina,mid,50.85
Katarina,ad,57.14
Katarina,support,57.14
Viktor,top,57.14
Viktor,jung,43.75
Viktor,mid,51.5
Viktor,ad,65.38
Viktor,support,0.5
Yasuo,top,46.94
Yasuo,jung,66.67
Yasuo,mid,47.06
Yasuo,ad,53.01
Yasuo,support,55.56
Vladimir,top,53.85
Vladimir,jung,0.5
Vladimir,mid,49.71
Vladimir,ad,64.29
Vladimir,support,27.27
Cho'Gath,top,52.58
Cho'Gath,jung,50.0
Cho'Gath,mid,49.51
Cho'Gath,ad,31.03
Cho'Gath,support,52.63
Darius,top,47.88
Darius,jung,50.0
Darius,mid,44.44
Darius,ad,59.09
Darius,support,0.5
Garen,top,51.56
Garen,jung,33.33
Garen,mid,32.0
Garen,ad,0.5
Garen,support,0.5
Kennen,top,49.43
Kennen,jung,0.5
Kennen,mid,52.78
Kennen,ad,0.5
Kennen,support,41.67
Qiyana,top,59.38
Qiyana,jung,54.69
Qiyana,mid,52.34
Qiyana,ad,0.5
Qiyana,support,0.5
Akali,top,46.26
Akali,jung,54.55
Akali,mid,53.69
Akali,ad,0.5
Akali,support,0.5
Leona,top,0.5
Leona,jung,0.5
Leona,mid,0.5
Leona,ad,0.5
Leona,support,50.62
Lissandra,top,50.0
Lissandra,jung,27.78
Lissandra,mid,49.18
Lissandra,ad,58.82
Lissandra,support,53.33
Yorick,top,46.02
Yorick,jung,0.5
Yorick,mid,81.82
Yorick,ad,0.5
Yorick,support,0.5
Veigar,top,55.17
Veigar,jung,66.67
Veigar,mid,48.52
Veigar,ad,46.1
Veigar,support,48.48
Milio,top,40.0
Milio,jung,23.08
Milio,mid,73.91
Milio,ad,44.0
Milio,support,52.81
Lillia,top,40.62
Lillia,jung,51.4
Lillia,mid,66.67
Lillia,ad,0.5
Lillia,support,35.71
Jarvan IV,top,45.16
Jarvan IV,jung,49.11
Jarvan IV,mid,62.5
Jarvan IV,ad,0.5
Jarvan IV,support,51.35
Lulu,top,60.0
Lulu,jung,40.54
Lulu,mid,48.98
Lulu,ad,47.06
Lulu,support,46.96
Rek'Sai,top,45.45
Rek'Sai,jung,58.3
Rek'Sai,mid,0.5
Rek'Sai,ad,0.5
Rek'Sai,support,0.5
Quinn,top,62.07
Quinn,jung,0.5
Quinn,mid,56.52
Quinn,ad,0.5
Quinn,support,0.5
Cassiopeia,top,48.15
Cassiopeia,jung,0.5
Cassiopeia,mid,51.69
Cassiopeia,ad,52.94
Cassiopeia,support,0.5
Teemo,top,46.51
Teemo,jung,0.5
Teemo,mid,78.57
Teemo,ad,0.5
Teemo,support,38.89
Amumu,top,0.5
Amumu,jung,44.19
Amumu,mid,0.5
Amumu,ad,0.5
Amumu,support,49.03
Rengar,top,52.1
Rengar,jung,55.61
Rengar,mid,45.45
Rengar,ad,0.5
Rengar,support,0.5
Ahri,top,41.18
Ahri,jung,50.0
Ahri,mid,50.45
Ahri,ad,57.14
Ahri,support,37.14
Aphelios,top,53.85
Aphelios,jung,0.5
Aphelios,mid,50.0
Aphelios,ad,50.56
Aphelios,support,71.43
Ekko,top,18.18
Ekko,jung,53.87
Ekko,mid,52.88
Ekko,ad,72.73
Ekko,support,25.0
Brand,top,63.64
Brand,jung,0.5
Brand,mid,60.0
Brand,ad,25.0
Brand,support,52.11
Nunu & Willump,top,0.5
Nunu & Willump,jung,54.18
Nunu & Willump,mid,43.75
Nunu & Willump,ad,0.5
Nunu & Willump,support,0.5
Nidalee,top,47.62
Nidalee,jung,50.99
Nidalee,mid,33.33
Nidalee,ad,0.5
Nidalee,support,41.18
Karma,top,46.43
Karma,jung,40.0
Karma,mid,53.95
Karma,ad,45.0
Karma,support,42.84
Shaco,top,48.15
Shaco,jung,51.96
Shaco,mid,47.37
Shaco,ad,0.5
Shaco,support,48.68
LeBlanc,top,59.38
LeBlanc,jung,0.5
LeBlanc,mid,44.88
LeBlanc,ad,50.0
LeBlanc,support,50.0
Galio,top,62.07
Galio,jung,38.89
Galio,mid,55.3
Galio,ad,57.14
Galio,support,54.55
Warwick,top,57.14
Warwick,jung,48.51
Warwick,mid,40.0
Warwick,ad,0.5
Warwick,support,0.5
Master Yi,top,61.11
Master Yi,jung,49.48
Master Yi,mid,41.38
Master Yi,ad,65.0
Master Yi,support,0.5
Karthus,top,33.33
Karthus,jung,51.96
Karthus,mid,46.3
Karthus,ad,50.0
Karthus,support,43.75
Tahm Kench,top,49.37
Tahm Kench,jung,0.5
Tahm Kench,mid,0.5
Tahm Kench,ad,0.5
Tahm Kench,support,57.97
Wukong,top,46.91
Wukong,jung,51.3
Wukong,mid,23.08
Wukong,ad,58.33
Wukong,support,50.0
Kha'Zix,top,64.29
Kha'Zix,jung,53.09
Kha'Zix,mid,73.91
Kha'Zix,ad,40.91
Kha'Zix,support,57.14
Kayn,top,61.64
Kayn,jung,52.84
Kayn,mid,62.5
Kayn,ad,61.54
Kayn,support,28.57
Neeko,top,45.16
Neeko,jung,32.35
Neeko,mid,47.06
Neeko,ad,0.5
Neeko,support,54.35
Fizz,top,47.06
Fizz,jung,61.54
Fizz,mid,48.94
Fizz,ad,33.33
Fizz,support,0.5
Urgot,top,56.88
Urgot,jung,0.5
Urgot,mid,0.5
Urgot,ad,0.5
Urgot,support,0.5
Jinx,top,54.84
Jinx,jung,56.86
Jinx,mid,46.67
Jinx,ad,50.93
Jinx,support,62.5
Maokai,top,47.37
Maokai,jung,52.82
Maokai,mid,60.0
Maokai,ad,0.5
Maokai,support,56.25
Zac,top,58.95
Zac,jung,47.45
Zac,mid,62.0
Zac,ad,0.5
Zac,support,54.17
Zoe,top,52.38
Zoe,jung,0.5
Zoe,mid,49.35
Zoe,ad,54.55
Zoe,support,47.22
Shyvana,top,34.62
Shyvana,jung,62.03
Shyvana,mid,0.5
Shyvana,ad,0.5
Shyvana,support,0.5
Kalista,top,52.94
Kalista,jung,0.5
Kalista,mid,26.67
Kalista,ad,46.75
Kalista,support,0.5
Heimerdinger,top,44.44
Heimerdinger,jung,0.5
Heimerdinger,mid,59.38
Heimerdinger,ad,57.14
Heimerdinger,support,55.41
Evelynn,top,0.5
Evelynn,jung,51.82
Evelynn,mid,0.5
Evelynn,ad,0.5
Evelynn,support,0.5
Pyke,top,0.5
Pyke,jung,0.5
Pyke,mid,61.76
Pyke,ad,0.5
Pyke,support,52.85
Sejuani,top,51.47
Sejuani,jung,47.76
Sejuani,mid,50.0
Sejuani,ad,0.5
Sejuani,support,56.52
Renata Glasc,top,0.5
Renata Glasc,jung,0.5
Renata Glasc,mid,0.5
Renata Glasc,ad,0.5
Renata Glasc,support,44.64
Aurelion Sol,top,50.0
Aurelion Sol,jung,0.5
Aurelion Sol,mid,50.35
Aurelion Sol,ad,63.64
Aurelion Sol,support,45.45
Syndra,top,54.17
Syndra,jung,37.5
Syndra,mid,49.91
Syndra,ad,52.94
Syndra,support,55.88
Thresh,top,35.48
Thresh,jung,48.0
Thresh,mid,67.5
Thresh,ad,56.82
Thresh,support,49.63
Viego,top,71.43
Viego,jung,46.19
Viego,mid,52.08
Viego,ad,50.0
Viego,support,80.0
Skarner,top,53.85
Skarner,jung,50.62
Skarner,mid,0.5
Skarner,ad,0.5
Skarner,support,0.5
Ryze,top,46.67
Ryze,jung,0.5
Ryze,mid,47.02
Ryze,ad,0.5
Ryze,support,0.5
Caitlyn,top,0.5
Caitlyn,jung,40.0
Caitlyn,mid,46.15
Caitlyn,ad,45.62
Caitlyn,support,62.5
Janna,top,0.5
Janna,jung,36.36
Janna,mid,0.5
Janna,ad,0.5
Janna,support,53.09
Malzahar,top,43.75
Malzahar,jung,0.5
Malzahar,mid,50.21
Malzahar,ad,45.45
Malzahar,support,61.54
Morgana,top,0.5
Morgana,jung,0.5
Morgana,mid,37.5
Morgana,ad,0.5
Morgana,support,47.17
Yuumi,top,57.89
Yuumi,jung,50.0
Yuumi,mid,52.17
Yuumi,ad,57.14
Yuumi,support,49.95
Kassadin,top,0.5
Kassadin,jung,0.5
Kassadin,mid,44.53
Kassadin,ad,0.5
Kassadin,support,0.5
Soraka,top,46.67
Soraka,jung,0.5
Soraka,mid,50.0
Soraka,ad,50.0
Soraka,support,48.54
Zeri,top,61.54
Zeri,jung,56.0
Zeri,mid,50.0
Zeri,ad,50.09
Zeri,support,41.94
Lucian,top,54.55
Lucian,jung,68.75
Lucian,mid,58.82
Lucian,ad,51.04
Lucian,support,33.33
Diana,top,52.94
Diana,jung,44.14
Diana,mid,50.68
Diana,ad,0.5
Diana,support,0.5
Nocturne,top,50.0
Nocturne,jung,54.89
Nocturne,mid,33.33
Nocturne,ad,0.5
Nocturne,support,0.5
Blitzcrank,top,0.5
Blitzcrank,jung,57.89
Blitzcrank,mid,50.0
Blitzcrank,ad,55.56
Blitzcrank,support,51.59
Fiddlesticks,top,33.33
Fiddlesticks,jung,48.7
Fiddlesticks,mid,58.33
Fiddlesticks,ad,0.5
Fiddlesticks,support,59.65
Twisted Fate,top,0.5
Twisted Fate,jung,0.5
Twisted Fate,mid,46.7
Twisted Fate,ad,0.5
Twisted Fate,support,0.5
Azir,top,50.0
Azir,jung,0.5
Azir,mid,44.31
Azir,ad,0.5
Azir,support,0.5
Tristana,top,61.76
Tristana,jung,63.64
Tristana,mid,54.23
Tristana,ad,47.41
Tristana,support,54.55
Xayah,top,46.67
Xayah,jung,46.15
Xayah,mid,60.0
Xayah,ad,50.89
Xayah,support,45.0
Lux,top,58.82
Lux,jung,0.5
Lux,mid,45.98
Lux,ad,50.0
Lux,support,49.91
Seraphine,top,0.5
Seraphine,jung,0.5
Seraphine,mid,49.23
Seraphine,ad,57.65
Seraphine,support,46.85
Talon,top,33.33
Talon,jung,45.15
Talon,mid,51.49
Talon,ad,0.5
Talon,support,0.5
Draven,top,35.71
Draven,jung,0.5
Draven,mid,83.33
Draven,ad,52.57
Draven,support,0.5
Vi,top,27.27
Vi,jung,47.86
Vi,mid,53.85
Vi,ad,0.5
Vi,support,0.5
Varus,top,60.0
Varus,jung,68.75
Varus,mid,50.0
Varus,ad,52.14
Varus,support,35.29
Vex,top,0.5
Vex,jung,84.62
Vex,mid,54.79
Vex,ad,0.5
Vex,support,66.67
Trundle,top,50.0
Trundle,jung,46.3
Trundle,mid,0.5
Trundle,ad,0.5
Trundle,support,0.5
Swain,top,63.64
Swain,jung,0.5
Swain,mid,49.15
Swain,ad,53.06
Swain,support,43.7
Samira,top,0.5
Samira,jung,53.33
Samira,mid,28.57
Samira,ad,51.67
Samira,support,0.5
Vel'Koz,top,0.5
Vel'Koz,jung,0.5
Vel'Koz,mid,53.04
Vel'Koz,ad,54.55
Vel'Koz,support,48.28
Nautilus,top,53.85
Nautilus,jung,50.0
Nautilus,mid,51.09
Nautilus,ad,58.82
Nautilus,support,52.09
Elise,top,71.43
Elise,jung,54.15
Elise,mid,0.5
Elise,ad,0.5
Elise,support,71.43
Rakan,top,58.33
Rakan,jung,77.78
Rakan,mid,33.33
Rakan,ad,71.43
Rakan,support,52.14
Jhin,top,0.5
Jhin,jung,0.5
Jhin,mid,33.33
Jhin,ad,45.51
Jhin,support,26.67
Sivir,top,0.5
Sivir,jung,58.33
Sivir,mid,42.86
Sivir,ad,48.49
Sivir,support,0.5
Ashe,top,0.5
Ashe,jung,0.5
Ashe,mid,41.18
Ashe,ad,46.05
Ashe,support,48.24
Taliyah,top,0.5
Taliyah,jung,45.65
Taliyah,mid,48.6
Taliyah,ad,0.5
Taliyah,support,50.0
Kog'Maw,top,0.5
Kog'Maw,jung,0.5
Kog'Maw,mid,44.64
Kog'Maw,ad,50.0
Kog'Maw,support,45.0
Braum,top,0.5
Braum,jung,83.33
Braum,mid,0.5
Braum,ad,0.5
Braum,support,44.89
Rell,top,0.5
Rell,jung,0.5
Rell,mid,0.5
Rell,ad,0.5
Rell,support,56.63
Senna,top,0.5
Senna,jung,0.5
Senna,mid,31.25
Senna,ad,52.27
Senna,support,51.24
Xerath,top,0.5
Xerath,jung,0.5
Xerath,mid,51.11
Xerath,ad,66.67
Xerath,support,46.34
Orianna,top,0.5
Orianna,jung,0.5
Orianna,mid,47.86
Orianna,ad,58.33
Orianna,support,46.67
Nilah,top,0.5
Nilah,jung,0.5
Nilah,mid,0.5
Nilah,ad,52.8
Nilah,support,0.5
Ivern,top,14.29
Ivern,jung,48.05
Ivern,mid,0.5
Ivern,ad,0.5
Ivern,support,46.67
Bard,top,0.5
Bard,jung,0.5
Bard,mid,0.5
Bard,ad,0.5
Bard,support,55.0
Zyra,top,0.5
Zyra,jung,0.5
Zyra,mid,0.5
Zyra,ad,0.5
Zyra,support,47.94
Taric,top,0.5
Taric,jung,0.5
Taric,mid,0.5
Taric,ad,0.5
Taric,support,60.74
Miss Fortune,top,0.5
Miss Fortune,jung,0.5
Miss Fortune,mid,72.73
Miss Fortune,ad,51.49
Miss Fortune,support,37.84
Corki,top,0.5
Corki,jung,0.5
Corki,mid,45.78
Corki,ad,0.5
Corki,support,0.5
Ziggs,top,0.5
Ziggs,jung,0.5
Ziggs,mid,51.2
Ziggs,ad,48.19
Ziggs,support,40.0
Sona,top,0.5
Sona,jung,0.5
Sona,mid,0.5
Sona,ad,0.5
Sona,support,48.3
